@relation day-of-week-./data/bris.dev

@attribute F0 {Brisbane}
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}

@data
Brisbane,1975,5,12,0,10,25,17,4.6,22000,22000,22000,30000,40000,31666.7,5,10,7.3,1015.4,1019,1017.5,Fri
Brisbane,1975,7,21,0,8,22,12.8,3.1,22000,22000,22000,6000,40000,24600,2,7,5,1017.4,1023.8,1021.2,Sat
Brisbane,1975,9,1,0,10,22,16.8,2.6,120,22000,15286.7,2500,35000,21250,10,20,14.7,1008.6,1016.7,1012.8,Sat
Brisbane,1975,11,17,0,19,25,22.2,9.3,1200,22000,15066.7,20000,40000,30000,13,17,14.7,1017.1,1021.2,1019.2,Sat
Brisbane,1976,2,16,?,19,27,22,7.7,1200,1200,1200,25000,45000,34000,15,20,17,1015.7,1018.1,1016.7,Thu
Brisbane,1976,3,22,0,20,25,23,7.7,750,22000,6191.7,30000,40000,31666.7,15,17,16,1012.7,1015.1,1013.8,Sat
Brisbane,1976,5,17,0,15,24,18.5,1.5,1200,22000,18533.3,20000,55000,36666.7,13,17,15,1016.5,1018.2,1017.5,Sat
Brisbane,1976,9,27,?,13,19,16.2,7.7,210,22000,8638.3,24000,30000,28000,10,13,11.3,1019.8,1024,1022,Tue
Brisbane,1976,10,11,0,16,23,18.8,3.6,3600,3600,3600,14000,26000,20000,3,11,7.5,1008.8,1010.8,1010.1,Thu
Brisbane,1976,11,22,0,16,29,22.8,6.7,22000,22000,22000,40000,60000,50000,5,17,11.3,1006.1,1010.6,1008.6,Sat
Brisbane,1976,11,29,0,20,27,24.4,6.2,9000,22000,19400,30000,30000,30000,18,21,19.8,1004.8,1008.6,1006.6,Sat
Brisbane,1976,12,27,0,23,32,27.5,5.1,22000,22000,22000,20000,40000,32333.3,17,24,21.2,1005.4,1008.8,1007.1,Sat
